Fecha,Resultados
2024-04-02,954
2024-04-03,650
2024-04-04,754
2024-04-05,35
2024-04-06,940
2024-04-07,709
2024-04-08,733
2024-04-09,754
2024-04-10,995
2024-04-11,554
2024-04-12,122
2024-04-13,867
2024-04-14,669
2024-04-15,843
2024-04-16,654
2024-04-17,459
2024-04-18,461
2024-04-19,320
2024-04-20,703
2024-04-21,746
2024-04-22,410
2024-04-23,293
2024-04-24,393
2024-04-25,173
2024-04-26,277
2024-04-27,556
2024-04-28,197
2024-04-29,954
2024-04-30,105
2024-05-01,836
2024-05-02,768
2024-05-03,950
2024-05-04,768
2024-05-05,41
2024-05-06,130
2024-05-07,431
2024-05-08,783
2024-05-09,573
2024-05-10,495
2024-05-11,582
2024-05-12,895
2024-05-13,134
2024-05-14,188
2024-05-15,738
2024-05-16,691
2024-05-17,58
2024-05-18,406
2024-05-19,504
2024-05-20,130
2024-05-21,438
2024-05-22,813
2024-05-23,492
2024-05-24,310
2024-05-25,116
2024-05-26,828
2024-05-27,673
2024-05-28,362
2024-05-29,519
2024-05-30,46
2024-05-31,128
2024-06-01,62
2024-06-02,141
2024-06-03,475
2024-06-04,951
2024-06-05,463
2024-06-06,230
2024-06-07,755
2024-06-08,554
2024-06-09,371
2024-06-10,860
2024-06-11,740
2024-06-12,481
2024-06-13,728
2024-06-14,954
2024-06-15,835
2024-06-16,831
2024-06-17,987
2024-06-18,708
2024-06-19,567
2024-06-20,931
2024-06-21,350
2024-06-22,365
2024-06-23,93
2024-06-24,483
2024-06-25,892
2024-06-26,666
2024-06-27,504
2024-06-28,464
2024-06-29,715
2024-06-30,402
2024-07-01,233
2024-07-02,214
2024-07-03,768
2024-07-04,517
2024-07-05,261
2024-07-06,441
2024-07-07,178
2024-07-08,159
2024-07-09,273
2024-07-10,416
2024-07-11,356
2024-07-12,477
2024-07-13,156
2024-07-14,920
2024-07-15,119
2024-07-16,577
2024-07-17,791
2024-07-18,571
2024-07-19,823
2024-07-20,847
2024-07-21,997
2024-07-22,578
2024-07-23,585
2024-07-24,235
2024-07-25,380
2024-07-26,562
2024-07-27,884
2024-07-28,986
2024-07-29,153
2024-07-30,49
2024-07-31,716
2024-08-01,833
2024-08-02,526
2024-08-03,783
2024-08-04,841
2024-08-05,210
2024-08-06,730
2024-08-07,212
2024-08-08,625
2024-08-09,322
2024-08-10,963
2024-08-11,278
2024-08-12,18
2024-08-13,158
2024-08-14,353
2024-08-15,10
2024-08-16,967
2024-08-17,191
2024-08-18,551
2024-08-19,254
2024-08-20,319
2024-08-21,281
2024-08-22,531
2024-08-23,384
2024-08-24,990
2024-08-25,759
2024-08-26,413
2024-08-27,293
2024-08-28,69
2024-08-29,613
2024-08-30,377
2024-08-31,185
2024-09-01,620
2024-09-02,360
2024-09-03,344
2024-09-04,555
2024-09-05,192
2024-09-06,631
2024-09-07,410
2024-09-08,457
2024-09-09,314
2024-09-10,552
2024-09-11,802
2024-09-12,141
2024-09-13,138
2024-09-14,989
2024-09-15,508
2024-09-16,505
2024-09-17,761
2024-09-18,201
2024-09-19,74
2024-09-20,296
2024-09-21,700
2024-09-22,721
2024-09-23,226
2024-09-24,96
2024-09-25,462
2024-09-26,423
2024-09-27,596
2024-09-28,445
2024-09-29,148
2024-09-30,40
2024-10-01,744
2024-10-02,516
2024-10-03,962
2024-10-04,187
2024-10-05,596
2024-10-06,92
2024-10-07,754
2024-10-08,630
2024-10-09,235
2024-10-10,110
2024-10-11,532
2024-10-12,905
2024-10-13,282
2024-10-14,836
2024-10-15,911
2024-10-16,150
2024-10-17,929
2024-10-18,776
2024-10-19,472
2024-10-20,397
2024-10-21,164
2024-10-22,118
2024-10-23,282
2024-10-24,472
2024-10-25,332
2024-10-26,593
2024-10-27,188
2024-10-28,433
2024-10-29,68
2024-10-30,942
2024-10-31,845
2024-11-01,959
2024-11-02,795
2024-11-03,376
2024-11-04,861
2024-11-05,795
2024-11-06,802
2024-11-07,686
2024-11-08,621
2024-11-09,353
2024-11-10,377
2024-11-11,532
2024-11-12,631
2024-11-13,956
2024-11-14,971
2024-11-15,650
2024-11-16,213
2024-11-17,434
2024-11-18,579
2024-11-19,991
2024-11-20,260
2024-11-21,184
2024-11-22,236
2024-11-23,426
2024-11-24,647
2024-11-25,84
2024-11-26,454
2024-11-27,243
2024-11-28,661
2024-11-29,187
2024-11-30,370
2024-12-01,26
2024-12-02,40
2024-12-03,835
2024-12-04,99
2024-12-05,724
2024-12-06,878
2024-12-07,524
2024-12-08,111
2024-12-09,840
2024-12-10,377
2024-12-11,843
2024-12-12,450
2024-12-13,831
2024-12-14,34
2024-12-15,272
2024-12-16,380
2024-12-17,443
2024-12-18,587
2024-12-19,932
2024-12-20,23
2024-12-21,830
2024-12-22,699
2024-12-23,6
2024-12-24,913
2024-12-25,365
2024-12-26,511
2024-12-27,470
2024-12-28,684
2024-12-29,803
2024-12-30,883
2024-12-31,909
2025-01-01,78
2025-01-02,985
2025-01-03,492
2025-01-04,332
2025-01-05,640
2025-01-06,909
2025-01-07,982
2025-01-08,977
2025-01-09,906
2025-01-10,546
2025-01-11,6
2025-01-12,767
2025-01-13,575
2025-01-14,967
2025-01-15,966
2025-01-16,749
2025-01-17,353
2025-01-18,35
2025-01-19,848
2025-01-20,716
2025-01-21,709
2025-01-22,177
2025-01-23,84
2025-01-24,61
2025-01-25,301
2025-01-26,44
2025-01-27,933
2025-01-28,788
2025-01-29,58
2025-01-30,626
2025-01-31,33
2025-02-01,44
2025-02-02,561
2025-02-03,934
2025-02-04,550
2025-02-05,359
2025-02-06,142
2025-02-07,225
2025-02-08,529
2025-02-09,500
2025-02-10,975
2025-02-11,386
2025-02-12,788
2025-02-13,379
2025-02-14,914
2025-02-15,583
2025-02-16,293
2025-02-17,702
2025-02-18,532
2025-02-19,146
2025-02-20,436
2025-02-21,250
2025-02-22,307
2025-02-23,86
2025-02-24,350
2025-02-25,315
2025-02-26,873
2025-02-27,85
2025-02-28,279
2025-03-01,192
2025-03-02,30
2025-03-03,2
2025-03-04,176
2025-03-05,729
2025-03-06,41
2025-03-07,669
2025-03-08,846
2025-03-09,183
2025-03-10,282
2025-03-11,39
2025-03-12,724
2025-03-13,162
2025-03-14,711
2025-03-15,745
2025-03-16,109
2025-03-17,142
2025-03-18,884
2025-03-19,249
2025-03-20,803
2025-03-21,875
2025-03-22,766
2025-03-23,501
2025-03-24,316
2025-03-25,213
2025-03-26,44
2025-03-27,796
2025-03-28,815
2025-03-29,241
2025-03-30,261
2025-03-31,979
2025-04-01,743
2025-04-02,791
2025-04-03,569
2025-04-04,233
2025-04-05,168
2025-04-06,923
2025-04-07,491
2025-04-08,664
2025-04-09,297
2025-04-10,98
2025-04-11,590
2025-04-12,344
2025-04-13,748
2025-04-14,660
2025-04-15,498
2025-04-16,724
2025-04-17,837
2025-04-18,54
2025-04-19,791
2025-04-20,66
2025-04-21,425
2025-04-22,857
2025-04-23,720
2025-04-24,114
2025-04-25,757
2025-04-26,509
2025-04-27,856
2025-04-28,625
2025-04-29,826
2025-04-30,322
2025-05-01,121
2025-05-02,595
2025-05-03,100
2025-05-04,48
2025-05-05,71
2025-05-06,691
2025-05-07,446
2025-05-08,553
2025-05-09,901
2025-05-10,738
2025-05-11,774
2025-05-12,513
2025-05-13,627
2025-05-14,651
2025-05-15,44
2025-05-16,913
2025-05-17,899
2025-05-18,809
2025-05-19,5
2025-05-20,40
2025-05-21,285
2025-05-22,293
2025-05-23,23
2025-05-24,29
2025-05-25,186
2025-05-26,292
2025-05-27,81
2025-05-28,969
2025-05-29,409
2025-05-30,210
2025-05-31,403
2025-06-01,289
2025-06-02,716
2025-06-03,568
2025-06-04,903
2025-06-05,298
2025-06-06,853
2025-06-07,811
2025-06-08,678
2025-06-09,534
2025-06-10,516
2025-06-11,836
2025-06-12,459
2025-06-13,544
2025-06-14,188
2025-06-15,957
2025-06-16,143
2025-06-17,666
2025-06-18,529
2025-06-19,262
2025-06-20,241
2025-06-21,120
2025-06-22,924
2025-06-23,465
2025-06-24,271
2025-06-25,695
2025-06-26,337
2025-06-27,761
2025-06-28,169
2025-06-29,516
2025-06-30,882
2025-07-01,277
2025-07-02,694
2025-07-03,860
2025-07-04,260
2025-07-05,215
2025-07-06,434
2025-07-07,785
2025-07-08,111
2025-07-09,119
2025-07-10,400
2025-07-11,511
2025-07-12,165
2025-07-13,162
2025-07-14,931
2025-07-15,868
2025-07-16,127
2025-07-17,461
2025-07-18,255
2025-07-19,179
2025-07-20,575
2025-07-21,446
2025-07-22,304
2025-07-23,384
2025-07-24,607
2025-07-25,8
2025-07-26,837
2025-07-27,999
2025-07-28,120
2025-07-29,194
2025-07-30,88
2025-07-31,503
2025-08-01,159
2025-08-02,652
2025-08-03,372
2025-08-04,321
2025-08-05,821
2025-08-06,341
2025-08-07,941
2025-08-08,231
2025-08-09,278
